date,region,route,carrier,warehouse,order_value,shipping_cost,delivery_time_days,delay_flag,damage_flag
2026-01-02,East,E-01,FastShip,WH-East-1,1280.00,92.00,2,0,0
2026-01-03,West,W-02,TransRoad,WH-West-1,940.00,88.00,3,0,0
2026-01-04,South,S-03,RegionalLine,WH-South-1,620.00,76.00,4,1,0
2026-01-05,Central,C-04,FastShip,WH-Central-1,1500.00,110.00,2,0,0
2026-01-06,East,E-05,MetroFreight,WH-East-2,720.00,68.00,3,0,0
2026-01-07,West,W-06,TransRoad,WH-West-1,2100.00,185.00,5,1,0
2026-01-08,South,S-07,RegionalLine,WH-South-2,880.00,120.00,6,1,1
2026-01-09,Central,C-08,MetroFreight,WH-Central-1,1320.00,104.00,3,0,0
2026-01-10,East,E-09,FastShip,WH-East-1,1760.00,115.00,2,0,0
2026-01-11,West,W-10,RegionalLine,WH-West-2,540.00,92.00,5,1,0
2026-01-12,South,S-11,TransRoad,WH-South-1,1180.00,140.00,4,1,0
2026-01-13,Central,C-12,FastShip,WH-Central-2,960.00,78.00,2,0,0
2026-01-14,East,E-13,MetroFreight,WH-East-2,690.00,74.00,3,0,0
2026-01-15,West,W-14,TransRoad,WH-West-1,2400.00,260.00,6,1,0
2026-01-16,South,S-15,RegionalLine,WH-South-2,760.00,130.00,7,1,1
2026-01-17,Central,C-16,MetroFreight,WH-Central-1,1430.00,118.00,3,0,0
2026-01-18,East,E-17,FastShip,WH-East-1,1250.00,96.00,2,0,0
2026-01-19,West,W-18,RegionalLine,WH-West-2,820.00,132.00,5,1,0
2026-01-20,South,S-19,TransRoad,WH-South-1,1640.00,180.00,5,1,0
2026-01-21,Central,C-20,FastShip,WH-Central-2,1110.00,84.00,2,0,0
2026-01-22,East,E-21,MetroFreight,WH-East-2,980.00,86.00,3,0,0
2026-01-23,West,W-22,TransRoad,WH-West-1,2700.00,310.00,7,1,1
2026-01-24,South,S-23,RegionalLine,WH-South-2,590.00,118.00,6,1,0
2026-01-25,Central,C-24,MetroFreight,WH-Central-1,1360.00,112.00,3,0,0
2026-02-01,East,E-25,FastShip,WH-East-1,1540.00,106.00,2,0,0
2026-02-02,West,W-26,RegionalLine,WH-West-2,750.00,128.00,5,1,0
2026-02-03,South,S-27,TransRoad,WH-South-1,1870.00,205.00,5,1,0
2026-02-04,Central,C-28,FastShip,WH-Central-2,1020.00,82.00,2,0,0
2026-02-05,East,E-29,MetroFreight,WH-East-2,840.00,80.00,3,0,0
2026-02-06,West,W-30,TransRoad,WH-West-1,2950.00,340.00,7,1,1
2026-02-07,South,S-31,RegionalLine,WH-South-2,680.00,126.00,6,1,1
2026-02-08,Central,C-32,MetroFreight,WH-Central-1,1490.00,120.00,3,0,0
2026-02-09,East,E-33,FastShip,WH-East-1,1325.00,98.00,2,0,0
2026-02-10,West,W-34,RegionalLine,WH-West-2,870.00,146.00,6,1,0
2026-02-11,South,S-35,TransRoad,WH-South-1,2050.00,230.00,5,1,0
2026-02-12,Central,C-36,FastShip,WH-Central-2,1180.00,90.00,2,0,0
