month,plan_type,customer_segment,mrr,arr,new_customers,churned_customers,churn_rate,expansion_revenue,support_tickets,cac
2025-01,Starter,SMB,42000.00,504000.00,48,12,0.025,3200.00,210,180.00
2025-01,Professional,Mid-Market,86000.00,1032000.00,24,5,0.018,7800.00,145,520.00
2025-01,Enterprise,Enterprise,132000.00,1584000.00,6,1,0.010,14500.00,82,2400.00
2025-02,Starter,SMB,43500.00,522000.00,52,14,0.029,3400.00,235,185.00
2025-02,Professional,Mid-Market,89500.00,1074000.00,26,5,0.017,8100.00,150,515.00
2025-02,Enterprise,Enterprise,138500.00,1662000.00,7,1,0.009,15800.00,79,2350.00
2025-03,Starter,SMB,44800.00,537600.00,55,17,0.035,3100.00,260,190.00
2025-03,Professional,Mid-Market,92800.00,1113600.00,25,6,0.020,8600.00,162,530.00
2025-03,Enterprise,Enterprise,145000.00,1740000.00,8,1,0.008,17200.00,76,2320.00
2025-04,Starter,SMB,45200.00,542400.00,50,21,0.043,2800.00,305,205.00
2025-04,Professional,Mid-Market,94400.00,1132800.00,23,7,0.023,8200.00,178,545.00
2025-04,Enterprise,Enterprise,151500.00,1818000.00,7,1,0.008,18100.00,84,2450.00
2025-05,Starter,SMB,44600.00,535200.00,42,26,0.055,2400.00,356,220.00
2025-05,Professional,Mid-Market,95200.00,1142400.00,22,8,0.026,7900.00,188,560.00
2025-05,Enterprise,Enterprise,158000.00,1896000.00,8,2,0.012,19600.00,92,2500.00
2025-06,Starter,SMB,43800.00,525600.00,39,29,0.063,2200.00,390,230.00
2025-06,Professional,Mid-Market,96100.00,1153200.00,21,9,0.029,7600.00,205,575.00
2025-06,Enterprise,Enterprise,164000.00,1968000.00,7,2,0.012,20500.00,98,2550.00
2025-07,Starter,SMB,43200.00,518400.00,38,31,0.068,2100.00,415,238.00
2025-07,Professional,Mid-Market,97200.00,1166400.00,22,8,0.026,8300.00,198,568.00
2025-07,Enterprise,Enterprise,171000.00,2052000.00,8,1,0.007,21800.00,88,2480.00
2025-08,Starter,SMB,44000.00,528000.00,45,27,0.058,2600.00,340,218.00
2025-08,Professional,Mid-Market,99500.00,1194000.00,25,7,0.022,9000.00,181,552.00
2025-08,Enterprise,Enterprise,179500.00,2154000.00,9,1,0.006,23500.00,81,2420.00
2025-09,Starter,SMB,45800.00,549600.00,51,22,0.046,3100.00,300,205.00
2025-09,Professional,Mid-Market,102800.00,1233600.00,27,6,0.019,9700.00,170,540.00
2025-09,Enterprise,Enterprise,188000.00,2256000.00,9,1,0.006,24800.00,78,2380.00
2025-10,Starter,SMB,47200.00,566400.00,54,19,0.039,3600.00,275,198.00
2025-10,Professional,Mid-Market,106500.00,1278000.00,28,6,0.018,10400.00,166,532.00
2025-10,Enterprise,Enterprise,197000.00,2364000.00,10,1,0.005,26300.00,72,2300.00
2025-11,Starter,SMB,48900.00,586800.00,56,18,0.036,3900.00,255,192.00
2025-11,Professional,Mid-Market,110200.00,1322400.00,30,5,0.015,11200.00,150,520.00
2025-11,Enterprise,Enterprise,207500.00,2490000.00,10,1,0.005,28200.00,70,2260.00
2025-12,Starter,SMB,50500.00,606000.00,58,16,0.031,4300.00,238,188.00
2025-12,Professional,Mid-Market,114800.00,1377600.00,32,5,0.014,12000.00,142,510.00
2025-12,Enterprise,Enterprise,219000.00,2628000.00,11,1,0.004,30100.00,68,2200.00
